Mode,BeamID,BeamType,beam_db,beam_theta,beam_phi,ch,ch_sw,ch_db,ch_deg
TX,1,0,,0,0,,,,
RX,1,0,,0,0,,,,
TX,2,0,,5,0,,,,
RX,2,0,,5,0,,,,
TX,3,0,,10,0,,,,
RX,3,0,,10,0,,,,
TX,4,0,,15,0,,,,
RX,4,0,,15,0,,,,
TX,5,0,,20,0,,,,
RX,5,0,,20,0,,,,
TX,6,0,,25,0,,,,
RX,6,0,,25,0,,,,
TX,7,0,,30,0,,,,
RX,7,0,,30,0,,,,
TX,8,0,,35,0,,,,
RX,8,0,,35,0,,,,
TX,9,0,,40,0,,,,
RX,9,0,,40,0,,,,
TX,10,0,,5,180,,,,
RX,10,0,,5,180,,,,
TX,11,0,,10,180,,,,
RX,11,0,,10,180,,,,
TX,12,0,,15,180,,,,
RX,12,0,,15,180,,,,
TX,13,0,,20,180,,,,
RX,13,0,,20,180,,,,
TX,14,0,,25,180,,,,
RX,14,0,,25,180,,,,
TX,15,0,,30,180,,,,
RX,15,0,,30,180,,,,
TX,16,0,,35,180,,,,
RX,16,0,,35,180,,,,
